Grant Status ,Phase Type,Phase Status,Grant ,Long Title,Funder ,Role,Investigator,Location,Faculty,Research Start,Research End,Outline Date,Application Date,Award Date,Leeds fEC (£),Leeds Price (£),Funded Leeds Expenditure (£),Funded Leeds Balance (£)
Award,Live Award,Successful,113210,Glycaemic Control,Abbott Diabetes Care,COI,"Stocken, Deborah, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/05/2017,31/12/2026,,20/07/2017,20/07/2017,"22,980.40","22,980.40","21,991.77",988.63
Award,Live Award,Successful,113603,POLAR,Zimmer GmbH,PI,"Pandit, Hemant, Prof",Orthopaedics,Faculty of Medicine & Health,13/10/2017,31/12/2026,,27/09/2017,23/10/2017,"155,488.62","149,601.78","63,182.68","86,419.10"
Award,Live Award,Successful,114017,OPTIMISTICC: Opportunity to Investigate the Microbiomes Impact on Science and Treatment in Colorectal Cancer,Cancer Research UK Supplier No: 138573,PI,"Quirke, Philip, Prof",Pathology & Tumour Biology,Faculty of Medicine & Health,01/01/2019,31/12/2025,,04/05/2018,24/04/2019,"3,460,388.22","2,477,953.48","1,907,683.54","570,269.94"
Award,Live Award,Successful,117449,ELEVATE,EPSRC (Engineering and Physical Sciences Research Council),PI,"Philips, Ian, Dr",Institute for Transport Studies,Faculty of Environment,01/06/2021,31/05/2026,,23/10/2018,13/04/2021,"665,981.41","532,784.86","418,999.19","113,785.67"
Award,Live Award,Successful,117449,ELEVATE,EPSRC (Engineering and Physical Sciences Research Council),COI,"Anable, Jillian, Prof",Institute for Transport Studies,Faculty of Environment,01/06/2021,31/05/2026,,23/10/2018,13/04/2021,"131,031.39","104,825.06","82,437.81","22,387.25"
Award,Live Award,Successful,117449,ELEVATE,EPSRC (Engineering and Physical Sciences Research Council),COI,"Heinen, Eva, Prof",Institute for Transport Studies,Faculty of Environment,01/06/2021,31/05/2026,,23/10/2018,13/04/2021,"208,415.16","166,732.05","131,123.46","35,608.59"
Award,Live Award,Successful,119000,PROFID,EU - European Union,PI,"Gale, Christopher, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/01/2020,31/03/2026,,22/07/2019,28/01/2020,"355,596.74","238,077.15","62,168.18","175,908.97"
Award,Live Award,Successful,119953,Refining and Optimising a behavioural intervention to Support Endocrine Therapy Adherence: The ROSETA programme,NIHR National Inst Health Research,PI,"Smith, Samuel, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/09/2020,01/12/2026,,16/12/2019,16/07/2020,"1,216,350.17","928,096.36","685,886.39","242,209.97"
Award,Live Award,Successful,119953,Refining and Optimising a behavioural intervention to Support Endocrine Therapy Adherence: The ROSETA programme,NIHR National Inst Health Research,COI,"Farrin, Amanda, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/09/2020,01/12/2026,,16/12/2019,16/07/2020,"340,886.51","253,997.83","131,598.65","122,399.18"
Award,Live Award,Successful,119953,Refining and Optimising a behavioural intervention to Support Endocrine Therapy Adherence: The ROSETA programme,NIHR National Inst Health Research,COI,"Foy, Robbie, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/09/2020,01/12/2026,,16/12/2019,16/07/2020,"69,110.81","52,732.75","38,970.82","13,761.93"
Award,Live Award,Successful,119953,Refining and Optimising a behavioural intervention to Support Endocrine Therapy Adherence: The ROSETA programme,NIHR National Inst Health Research,COI,"Walwyn, Rebecca, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/09/2020,01/12/2026,,16/12/2019,16/07/2020,"136,354.60","101,599.13","52,639.46","48,959.67"
Award,Live Award,Successful,120837,Investigating and documenting the school lives of high school pupils living with chronic or life-limiting illness,NIHR National Inst Health Research,PI,"Pini, Simon, Dr",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/08/2021,31/07/2026,09/12/2019,10/09/2020,29/07/2021,"948,911.50","763,585.99","628,980.30","134,605.69"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),PI,"Young, Charles, Prof",School of Earth and Environment,Faculty of Environment,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"267,864.28","214,291.41","154,708.17","59,583.24"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Boyle, Neil, Dr",School of Psychology,Faculty of Medicine & Health,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,0.00,0.00,0.00,0.00
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Chintakayala, Venkata Phani Kumar, Mr",Faculty of Business,Faculty of Business,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,0.00,0.00,0.00,0.00
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Crastes dit Sourd, Romain, Dr",Faculty of Business,Faculty of Business,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,0.00,0.00,0.00,0.00
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Dye, Louise, Prof",Food Science,Faculty of Environment,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"134,109.19","106,505.66","78,058.93","28,446.73"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Kaptan, Gulbanu, Dr",Faculty of Business,Faculty of Business,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"88,835.22","71,068.18","39,295.00","31,773.18"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Lawton, Clare, Dr",School of Psychology,Faculty of Medicine & Health,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"659,008.14","527,206.51","379,883.95","147,322.56"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Mackie, Alan, Prof",Food Science,Faculty of Environment,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"44,703.21","35,502.01","26,019.73","9,482.28"
Award,Live Award,Successful,120951,"Healthy soil, Healthy food, Healthy people (H3)",BBSRC (Biotechnology & Biological Sciences Research Council),COI,"Tallontire, Anne, Prof",School of Earth and Environment,Faculty of Environment,01/01/2021,31/12/2025,27/11/2019,05/11/2020,25/02/2021,"267,684.88","214,147.89","154,604.56","59,543.33"
Award,Live Award,Successful,122154,Development of a feedback intervention to reduce risk when prescribing in reduced kidney function in primary care: a feasibility study,Pharmacy Research UK,PI,"Wood, Susan, Dr",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,04/01/2021,30/09/2025,,20/05/2020,19/01/2021,"17,998.06","10,603.27","9,179.62","1,423.65"
Award,Live Award,Successful,122154,Development of a feedback intervention to reduce risk when prescribing in reduced kidney function in primary care: a feasibility study,Pharmacy Research UK,COI,"Alderson, Sarah, Dr",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,04/01/2021,30/09/2025,,20/05/2020,19/01/2021,"17,998.06","10,603.27","9,179.62","1,423.65"
Award,Live Award,Successful,122255,Vulnerability and Policing Futures Research Centre,ESRC (Economic and Social Research Council),PI,"Crawford, T Adam, Prof",School of Law,Faculty of Social Sciences,01/05/2022,30/04/2027,08/10/2020,31/03/2021,29/07/2022,"1,574,783.85","1,260,526.91","641,990.01","618,536.90"
Award,Live Award,Successful,122255,Vulnerability and Policing Futures Research Centre,ESRC (Economic and Social Research Council),COI,"Bainbridge, Laura, Dr",School of Law,Faculty of Social Sciences,01/05/2022,30/04/2027,08/10/2020,31/03/2021,29/07/2022,"1,049,855.90","840,351.27","427,993.34","412,357.93"
Award,Live Award,Successful,122255,Vulnerability and Policing Futures Research Centre,ESRC (Economic and Social Research Council),COI,"Birks, Daniel, Prof",School of Law,Faculty of Social Sciences,01/05/2022,30/04/2027,08/10/2020,31/03/2021,29/07/2022,"1,499,796.37","1,200,503.60","611,419.96","589,083.63"
Award,Live Award,Successful,122255,Vulnerability and Policing Futures Research Centre,ESRC (Economic and Social Research Council),COI,"Mon-Williams, Mark, Prof",School of Psychology,Faculty of Medicine & Health,01/05/2022,30/04/2027,08/10/2020,31/03/2021,29/07/2022,"152,721.00","122,176.80","73,305.99","48,870.81"
Award,Live Award,Successful,122255,Vulnerability and Policing Futures Research Centre,ESRC (Economic and Social Research Council),COI,"Solanke, V Iyiola, Prof",School of Law,Faculty of Social Sciences,01/05/2022,30/04/2027,08/10/2020,31/03/2021,29/07/2022,"18,746.87","15,005.83","7,642.51","7,363.32"
Award,Live Award,Successful,124215,Healthy and Sustainable Diets,Institute of Grocery Distribution,PI,"Morris, Michelle, Prof",Food Science,Faculty of Environment,01/01/2021,16/07/2025,,19/03/2021,29/03/2021,"518,988.37","329,745.77","223,555.90","106,189.87"
Award,Live Award,Successful,124215,Healthy and Sustainable Diets,Institute of Grocery Distribution,COI,"Birkin, Mark, Prof",School of Geography,Faculty of Environment,01/01/2021,16/07/2025,,19/03/2021,29/03/2021,"61,612.56","32,090.71","8,789.62","23,301.09"
Award,Live Award,Successful,124215,Healthy and Sustainable Diets,Institute of Grocery Distribution,COI,"Fildes, Alison, Dr",School of Psychology,Faculty of Medicine & Health,01/01/2021,16/07/2025,,19/03/2021,29/03/2021,"16,171.97","9,314.14","9,530.57",-216.43
Award,Live Award,Successful,124215,Healthy and Sustainable Diets,Institute of Grocery Distribution,COI,"Quirke, Philip, Prof",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/01/2021,16/07/2025,,19/03/2021,29/03/2021,"313,676.85","174,414.82","183,034.03","-8,619.21"
Award,Live Award,Successful,124215,Healthy and Sustainable Diets,Institute of Grocery Distribution,COI,"Young, Charles, Prof",School of Earth and Environment,Faculty of Environment,01/01/2021,16/07/2025,,19/03/2021,29/03/2021,"20,267.97","13,591.60","13,934.77",-343.17
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,PI,"Conaghan, Philip, Prof",Inst of Rheum & Musculoskel Med (LIRMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"2,854,248.25","1,807,563.31","557,739.16","1,249,824.14"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Ariens, Robert, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Beech, David, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"820,382.81","478,457.43","211,346.16","267,111.27"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Brown, Julia, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"377,390.48","202,913.24","60,707.18","142,206.05"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Brown, Sarah, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Cairns, David, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Clegg, Andrew, Prof",AU Elderly Care,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"437,625.99","233,976.14","102,373.07","131,603.07"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Cook, Gordon, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"753,274.36","405,016.41","121,172.02","283,844.40"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Del Galdo, Francesco, Prof",Clinical & Translational Rheumatology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Del Galdo, Francesco, Prof",Clinical & Translational Rheumatology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"196,611.35","162,669.69","78,623.69","84,046.00"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Emery, Paul, Prof",Inst of Rheum & Musculoskel Med (LIRMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"1,427,295.41","903,890.12","278,903.05","624,987.07"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Evans, Stephen, Prof",School of Physics and Astronomy,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"20,574.69","13,786.34","6,663.40","7,122.94"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Frangi, Alejandro, Prof",School of Computer Science,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"690,319.82","299,990.90","22,133.10","277,857.80"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Frangi, Alejandro, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Grabsch, Heike, Prof",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"457,805.58","327,948.13","77,937.27","250,010.86"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Gusnanto, Arief, Dr",School of Mathematics,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"37,094.78","21,051.63","10,174.95","10,876.68"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Hall, Geoffrey, Prof",Division of Oncology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"74,204.76","74,204.79","29,775.66","44,429.13"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Helliwell, Philip, Prof",Inst of Rheum & Musculoskel Med (LIRMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Hillmen, Peter, Prof",Division of Haematology and Immunology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Hogg, David, Prof",School of Computer Science,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"690,319.82","299,990.90","22,133.10","277,857.80"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Iles, Mark, Dr",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"457,805.58","327,948.13","77,937.27","250,010.86"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Iqbal, Neelam, Dr",School of Chemical & Process Engineering,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"101,716.44","101,716.44","79,870.25","21,846.19"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Jayne, David, Prof",Trans Anaesthetics & Surgical Sciences,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"173,198.39","107,118.77","36,980.71","70,138.06"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Jayne, David, Prof",Division of Gastroenterology and Surgery,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"1,295,440.79","816,741.01","368,512.67","448,228.34"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Kearney, Mark, Prof",Medicine & Health Faculty Office,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,,,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Keenan, Anne-Maree, Prof",School of Healthcare,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"183,513.01","119,340.41","57,681.20","61,659.21"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"McGonagle, Dennis, Prof",Experimental Rheumatology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"240,119.55","128,112.13","18,971.43","109,140.70"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"408,734.65","184,130.56","71,768.67","112,361.89"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Mon-Williams, Mark, Prof",School of Psychology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"36,701.26","23,124.56","11,176.87","11,947.69"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Morgan, Ann, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"1,640,749.22","956,905.29","422,688.08","534,217.21"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Newton, Darren, Dr",Division of Haematology and Immunology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"1,531,071.01","769,319.95","247,074.07","522,245.88"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,Not Known,Division of Haematology and Immunology,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"O'Neill, Alexander, Prof",School of Molecular and Cellular Biology,Faculty of Biological Sciences,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"148,889.07","131,918.27","32,222.64","99,695.64"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Pandit, Hemant, Prof",Orthopaedics,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"785,607.12","459,767.34","211,183.81","248,583.53"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Pavitt, Susan, Prof",School of Dentistry,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,,,,
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Plein, Sven, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Quirke, Philip, Prof",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"686,699.21","491,915.64","116,904.35","375,011.29"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Redmond, Anthony, Prof",Clinical Biomechanic & Physical Med,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"647,982.34","308,565.89","89,693.10","218,872.79"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Robinson, James, Dr",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Stewart, Paul, Prof",Central Admin & Support Services (CASS),Central Admin & Support Services (CASS),01/12/2022,30/11/2027,,04/11/2021,30/11/2022,,,,
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Stocken, Deborah, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,0.00,0.00,0.00,0.00
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Valdastri, Pietro, Prof",School of Electronic & Electrical Eng,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"47,559.62","30,588.82","14,784.60","15,804.22"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Vital, Edward, Prof",Inst of Rheum & Musculoskel Med (LIRMM),Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"2,854,590.81","1,807,780.25","557,806.10","1,249,974.15"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Westhead, David, Prof",School of Molecular and Cellular Biology,Faculty of Biological Sciences,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"148,889.07","131,918.27","32,222.64","99,695.64"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Wilcox, Mark, Prof",Division of Gastroenterology and Surgery,Faculty of Medicine & Health,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"647,720.39","408,370.50","184,256.33","224,114.17"
Award,Live Award,Successful,124931,Leeds BRC,NIHR National Inst Health Research,COI,"Wilcox, Ruth, Prof",School of Mechanical Engineering,Faculty of Engineering & Physical Sci.,01/12/2022,30/11/2027,,04/11/2021,30/11/2022,"635,916.25","271,043.57","103,039.22","168,004.35"
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,PI,"Foy, Robbie, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,"531,385.36","146,730.83","55,091.26","91,639.57"
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,COI,"Benn, Jonathan, Dr",School of Psychology,Faculty of Medicine & Health,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,"91,518.23","25,509.59","17,541.48","7,968.11"
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,COI,"de Kamps, Marc, Dr",School of Computer Science,Faculty of Engineering & Physical Sci.,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,"146,411.57","74,701.56","6,632.55","68,069.01"
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,COI,"Farrin, Amanda, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,0.00,0.00,0.00,0.00
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,COI,"Johnson, Owen, Mr",School of Computer Science,Faculty of Engineering & Physical Sci.,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,"146,411.57","74,701.56","6,632.55","68,069.01"
Award,Live Award,Successful,125083,NIHR Blood and Transplant Research Unit,NIHR National Inst Health Research,COI,"Walwyn, Rebecca, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/04/2022,31/03/2027,,30/11/2022,14/02/2023,"35,529.48","9,126.04",489.65,"8,636.39"
Award,Live Award,Successful,125377,Haematological Outcomes Platform,Leeds Hospitals Charity,PI,"Glaser, Adam, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/10/2023,30/09/2026,,28/06/2021,16/05/2024,"532,934.50","326,205.87","81,838.90","244,366.97"
Award,Live Award,Successful,125377,Haematological Outcomes Platform,Leeds Hospitals Charity,COI,"Feltbower, Richard, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/10/2023,30/09/2026,,28/06/2021,16/05/2024,"532,934.50","326,205.87","81,838.90","244,366.97"
Award,Live Award,Successful,125377,Haematological Outcomes Platform,Leeds Hospitals Charity,COI,"Glaser, Adam, Prof",Division of Oncology,Faculty of Medicine & Health,01/10/2023,30/09/2026,,28/06/2021,16/05/2024,"116,155.54",0.00,0.00,0.00
Award,Live Award,Successful,125377,Haematological Outcomes Platform,Leeds Hospitals Charity,COI,"Mujica-Mota, Ruben, Dr",Division of Health Economics,Faculty of Medicine & Health,01/10/2023,30/09/2026,,28/06/2021,16/05/2024,"103,216.30","34,324.01",0.00,"34,324.01"
Award,Live Award,Successful,125648,DynAIRx: AIs for dynamic prescribing optimisation and care integration in multimorbidity,NIHR National Inst Health Research,PI,"Ruddle, Roy, Prof",School of Computer Science,Faculty of Engineering & Physical Sci.,01/09/2022,31/08/2025,,10/12/2021,07/12/2022,"451,693.81","361,355.06","319,822.56","41,532.50"
Award,Live Award,Successful,125648,DynAIRx: AIs for dynamic prescribing optimisation and care integration in multimorbidity,NIHR National Inst Health Research,COI,"Clegg, Andrew, Prof",AU Elderly Care,Faculty of Medicine & Health,01/09/2022,31/08/2025,,10/12/2021,07/12/2022,"496,784.09","397,427.27","345,347.02","52,080.25"
Award,Live Award,Successful,125648,DynAIRx: AIs for dynamic prescribing optimisation and care integration in multimorbidity,NIHR National Inst Health Research,COI,"Relton, Samuel, Dr",Division of Health Services Research,Faculty of Medicine & Health,01/09/2022,31/08/2025,,10/12/2021,07/12/2022,"110,919.58","88,735.67","85,554.14","3,181.53"
Award,Live Award,Successful,125648,DynAIRx: AIs for dynamic prescribing optimisation and care integration in multimorbidity,NIHR National Inst Health Research,COI,"Ruddle, Roy, Prof",Medicine & Health Faculty Office,Faculty of Medicine & Health,01/09/2022,31/08/2025,,10/12/2021,07/12/2022,"3,980.25","3,184.20","2,830.45",353.75
Award,Live Award,Successful,125990,FIO FOOD_SUSTAIN,UKRI (UK Research and Innovation),PI,"Morris, Michelle, Prof",Food Science,Faculty of Environment,01/09/2022,31/08/2026,,13/10/2021,05/10/2022,"541,520.83","433,216.68","247,994.03","185,222.65"
Award,Live Award,Successful,125990,FIO FOOD_SUSTAIN,UKRI (UK Research and Innovation),COI,"Gilthorpe, Mark, Prof",Inst Cardiovasc & Metabolic Med (LICAMM),Faculty of Medicine & Health,01/09/2022,31/08/2026,,13/10/2021,05/10/2022,"2,097.14","1,677.71","1,677.88",-0.17
Award,Live Award,Successful,125990,FIO FOOD_SUSTAIN,UKRI (UK Research and Innovation),COI,"Keeley, Adam, Mr",Leeds Inst for Data Analytics (LIDA),Faculty of Medicine & Health,01/09/2022,31/08/2026,,13/10/2021,05/10/2022,"8,677.58","6,942.06","2,172.69","4,769.37"
Award,Live Award,Successful,125990,FIO FOOD_SUSTAIN,UKRI (UK Research and Innovation),COI,"Morris, Michelle, Prof",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/09/2022,31/08/2026,,13/10/2021,05/10/2022,"104,717.25","83,773.79","84,597.87",-824.08
